response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.3309,0.0006,0.0000,0.0001,1.6713,1.6587,200,0.0003
2.2878,0.0000,0.0000,0.0001,1.6426,0.6451,200,3.3312
2.4639,0.0000,0.0000,0.0001,1.2643,1.1995,200,5.6190
3.2870,0.0000,0.0000,0.0001,1.2943,1.9926,200,8.0830
3.4587,0.0000,0.0000,0.0000,1.2856,2.1731,200,11.3699
3.4970,0.0000,0.0000,0.0000,1.4661,2.0308,200,14.8287
3.8093,0.0000,0.0000,0.0000,1.4397,2.3695,200,18.3257
3.8064,0.0000,0.0000,0.0000,1.6528,2.1535,200,22.1350
5.0362,0.0000,0.0000,0.0000,1.6577,3.3784,200,25.9414
5.5692,0.0000,0.0000,0.0000,1.6611,3.9080,200,30.9776
5.3863,0.0000,0.0000,0.0000,1.7362,3.6500,200,36.5468
5.1845,0.0000,0.0000,0.0000,1.2588,3.9256,200,41.9331
4.4340,0.0000,0.0000,0.0000,1.4475,2.9865,200,47.1176
3.9201,0.0000,0.0000,0.0000,1.9532,1.9669,200,51.5516
3.0524,0.0000,0.0000,0.0000,1.4440,1.6083,200,55.4717
4.2560,0.0000,0.0000,0.0000,1.7362,2.5197,200,58.5241
3.7704,0.0000,0.0000,0.0000,1.7858,1.9845,200,62.7801
4.1122,0.0000,0.0000,0.0000,1.6988,2.4134,200,66.5505
4.5080,0.0000,0.0000,0.0000,1.6481,2.8599,200,70.6628
3.9179,0.0000,0.0000,0.0000,1.4526,2.4652,200,75.1708
