response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.7502,0.0007,0.0000,0.0002,1.7300,1.0192,200,0.0002
2.0181,0.0000,0.0000,0.0000,1.2283,0.7897,200,2.7504
2.3567,0.0000,0.0000,0.0001,1.3645,0.9921,200,4.7685
1.7552,0.0000,0.0000,0.0001,1.1524,0.6027,200,7.1252
1.8526,0.0000,0.0000,0.0000,1.0458,0.8068,200,8.8804
1.6504,0.0000,0.0000,0.0000,0.9017,0.7486,200,10.7330
1.6477,0.0000,0.0000,0.0001,1.2280,0.4195,200,12.3834
1.4400,0.0000,0.0000,0.0000,1.0084,0.4316,200,14.0311
1.3396,0.0000,0.0000,0.0000,0.9063,0.4332,200,15.4711
1.7249,0.0000,0.0000,0.0000,1.1025,0.6223,200,16.8107
1.3418,0.0000,0.0000,0.0000,0.9143,0.4275,200,18.5356
1.3682,0.0000,0.0000,0.0000,0.9336,0.4344,200,19.8774
1.5151,0.0000,0.0000,0.0000,1.1025,0.4125,200,21.2456
1.5980,0.0000,0.0000,0.0001,0.9898,0.6081,200,22.7606
1.6232,0.0000,0.0000,0.0000,1.0165,0.6067,200,24.3587
1.5118,0.0000,0.0000,0.0000,0.9006,0.6111,200,25.9819
1.5148,0.0000,0.0000,0.0000,1.1009,0.4138,200,27.4937
1.4910,0.0000,0.0000,0.0000,0.8969,0.5940,200,29.0085
1.5479,0.0000,0.0000,0.0000,0.9310,0.6168,200,30.4995
2.3307,0.0000,0.0000,0.0000,1.9225,0.4082,200,32.0474
