response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.7514,0.0007,0.0000,0.0002,1.5339,2.2165,200,0.0003
3.1328,0.0000,0.0000,0.0001,1.3365,1.7962,200,3.7516
2.8722,0.0000,0.0000,0.0001,1.2753,1.5967,200,6.8844
2.9324,0.0000,0.0000,0.0000,1.3412,1.5911,200,9.7567
2.4237,0.0000,0.0000,0.0000,1.2186,1.2051,200,12.6890
2.0378,0.0000,0.0000,0.0001,1.2261,0.8115,200,15.1128
4.6378,0.0000,0.0000,0.0000,1.4700,3.1677,200,17.1506
2.9930,0.0000,0.0000,0.0000,1.2070,1.7859,200,21.7883
2.1233,0.0000,0.0000,0.0000,1.2176,0.9056,200,24.7813
2.3475,0.0000,0.0000,0.0000,1.3248,1.0227,200,26.9046
2.1797,0.0000,0.0000,0.0000,0.9344,1.2453,200,29.2520
2.1084,0.0000,0.0000,0.0000,1.1045,1.0038,200,31.4318
2.2283,0.0000,0.0000,0.0000,1.0307,1.1975,200,33.5401
2.0622,0.0000,0.0000,0.0000,1.0488,1.0133,200,35.7684
1.8368,0.0000,0.0000,0.0000,1.0213,0.8155,200,37.8306
1.9883,0.0000,0.0000,0.0000,1.1669,0.8213,200,39.6674
1.4440,0.0000,0.0000,0.0000,0.8290,0.6149,200,41.6557
1.9797,0.0000,0.0000,0.0000,0.9130,1.0666,200,43.0997
1.9047,0.0000,0.0000,0.0000,1.2799,0.6248,200,45.0794
1.8378,0.0000,0.0000,0.0000,1.0244,0.8134,200,46.9841
