response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.2743,0.0009,0.0000,0.0002,1.6007,1.6723,200,0.0004
3.0335,0.0000,0.0000,0.0001,1.0726,1.9608,200,3.2746
2.5482,0.0000,0.0000,0.0000,1.3209,1.2271,200,6.3081
3.1200,0.0000,0.0000,0.0000,1.1407,1.9792,200,8.8563
2.5208,0.0000,0.0000,0.0000,0.8621,1.6587,200,11.9763
2.6688,0.0000,0.0000,0.0000,1.0750,1.5937,200,14.4971
2.9292,0.0000,0.0000,0.0001,1.3266,1.6025,200,17.1659
2.4980,0.0000,0.0000,0.0000,1.0503,1.4477,200,20.0951
2.5131,0.0000,0.0000,0.0000,1.2950,1.2181,200,22.5932
2.2940,0.0000,0.0000,0.0000,1.2794,1.0146,200,25.1063
2.2608,0.0000,0.0000,0.0000,0.8629,1.3978,200,27.4003
2.3142,0.0000,0.0000,0.0000,1.3133,1.0008,200,29.6611
2.0559,0.0000,0.0000,0.0000,1.0436,1.0123,200,31.9754
2.8442,0.0000,0.0000,0.0000,1.2418,1.6023,200,34.0313
2.9824,0.0000,0.0000,0.0000,1.0659,1.9164,200,36.8755
2.8381,0.0000,0.0000,0.0000,0.8593,1.9787,200,39.8578
2.7667,0.0000,0.0000,0.0000,1.0468,1.7199,200,42.6959
2.6359,0.0000,0.0000,0.0000,1.0539,1.5819,200,45.4626
2.2554,0.0000,0.0000,0.0000,1.0515,1.2038,200,48.0985
2.2523,0.0000,0.0000,0.0000,1.2480,1.0042,200,50.3538
