response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.4221,0.0006,0.0000,0.0001,1.7923,0.6290,200,0.0002
1.5469,0.0000,0.0000,0.0000,0.9251,0.6217,200,2.4223
1.5363,0.0000,0.0000,0.0001,0.9216,0.6146,200,3.9692
1.6260,0.0000,0.0000,0.0000,1.0028,0.6232,200,5.5055
1.8392,0.0000,0.0000,0.0000,1.2183,0.6208,200,7.1314
1.3386,0.0000,0.0000,0.0001,0.9152,0.4234,200,8.9706
1.3500,0.0000,0.0000,0.0000,0.9278,0.4221,200,10.3093
1.4207,0.0000,0.0000,0.0000,0.9937,0.4270,200,11.6593
1.7342,0.0000,0.0000,0.0000,1.1084,0.6258,200,13.0800
1.6376,0.0000,0.0000,0.0000,1.2167,0.4209,200,14.8142
1.7404,0.0000,0.0000,0.0000,1.1166,0.6237,200,16.4518
1.9299,0.0000,0.0000,0.0000,0.9272,1.0027,200,18.1922
1.9610,0.0000,0.0000,0.0000,1.1321,0.8288,200,20.1222
1.6645,0.0000,0.0000,0.0000,1.0137,0.6507,200,22.0832
2.0367,0.0000,0.0000,0.0001,1.1932,0.8434,200,23.7476
1.5905,0.0000,0.0000,0.0001,0.9475,0.6429,200,25.7844
1.5689,0.0000,0.0000,0.0001,0.9285,0.6403,200,27.3749
1.7753,0.0000,0.0000,0.0000,0.9490,0.8263,200,28.9438
1.8133,0.0000,0.0000,0.0000,0.9810,0.8322,200,30.7191
1.8335,0.0000,0.0000,0.0000,1.0114,0.8220,200,32.5323
2.4339,0.0006,0.0000,0.0001,1.6139,0.8192,200,0.0002
1.9636,0.0000,0.0000,0.0000,1.3378,0.6257,200,2.4341
1.5503,0.0000,0.0000,0.0000,0.9271,0.6231,200,4.3978
1.8074,0.0000,0.0000,0.0001,1.2045,0.6028,200,5.9481
1.7682,0.0000,0.0000,0.0000,0.9128,0.8553,200,7.7555
1.7169,0.0000,0.0000,0.0000,0.9123,0.8046,200,9.5237
2.0630,0.0000,0.0000,0.0000,1.4377,0.6252,200,11.2407
1.5903,0.0000,0.0000,0.0000,0.9163,0.6739,200,13.3037
1.3844,0.0000,0.0000,0.0000,0.9633,0.4211,200,14.8940
1.5888,0.0000,0.0000,0.0000,1.1393,0.4495,200,16.2784
1.5756,0.0000,0.0000,0.0000,0.9509,0.6246,200,17.8672
1.5481,0.0000,0.0000,0.0000,0.9154,0.6326,200,19.4428
1.3768,0.0000,0.0000,0.0000,0.9219,0.4548,200,20.9909
1.6903,0.0000,0.0000,0.0000,1.0654,0.6248,200,22.3676
1.4439,0.0000,0.0000,0.0000,1.0178,0.4260,200,24.0579
1.3818,0.0000,0.0000,0.0001,0.9365,0.4452,200,25.5018
1.3653,0.0000,0.0000,0.0000,1.1322,0.2331,200,26.8836
2.0485,0.0000,0.0000,0.0000,1.2281,0.8203,200,28.2490
1.7672,0.0000,0.0000,0.0000,1.1466,0.6206,200,30.2974
1.5369,0.0000,0.0000,0.0000,0.9130,0.6239,200,32.0646
