response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1164,0.0006,0.0000,0.0002,1.3140,0.8015,200,0.0002
1.4707,0.0000,0.0000,0.0001,1.0417,0.4289,200,2.1166
1.2004,0.0000,0.0000,0.0000,0.8004,0.4000,200,3.5873
1.1919,0.0000,0.0000,0.0000,0.7743,0.4176,200,4.7877
1.1872,0.0000,0.0000,0.0000,0.7788,0.4083,200,5.9796
1.6340,0.0000,0.0000,0.0000,1.2317,0.4022,200,7.1668
1.2121,0.0000,0.0000,0.0000,0.8093,0.4027,200,8.8008
1.2281,0.0000,0.0000,0.0000,0.8259,0.4021,200,10.0129
1.2275,0.0000,0.0000,0.0000,0.8272,0.4002,200,11.2409
1.9135,0.0000,0.0000,0.0000,0.7839,1.1296,200,12.4684
1.4697,0.0000,0.0000,0.0000,1.0651,0.4046,200,14.3819
1.1894,0.0000,0.0000,0.0000,0.7849,0.4044,200,15.8516
1.2687,0.0000,0.0000,0.0000,0.8648,0.4038,200,17.0410
1.2294,0.0000,0.0000,0.0000,0.8242,0.4051,200,18.3096
1.2262,0.0000,0.0000,0.0001,0.8242,0.4020,200,19.5391
1.2256,0.0000,0.0000,0.0000,0.8264,0.3991,200,20.7653
1.2087,0.0000,0.0000,0.0000,0.8024,0.4062,200,21.9909
1.7531,0.0000,0.0000,0.0000,1.3529,0.4001,200,23.1995
1.1804,0.0000,0.0000,0.0000,0.7728,0.4076,200,24.9526
1.2207,0.0000,0.0000,0.0000,0.8184,0.4023,200,26.1330
