response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.0863,0.0014,0.0000,0.0007,3.0772,2.0060,200,0.0012
4.6324,0.0000,0.0000,0.0001,3.1260,1.5063,200,5.0875
4.5518,0.0000,0.0000,0.0001,2.9434,1.6083,200,9.7199
4.3693,0.0000,0.0000,0.0000,2.7114,1.6578,200,14.2718
3.8890,0.0000,0.0000,0.0000,2.8584,1.0305,200,18.6410
3.6892,0.0000,0.0000,0.0001,2.8612,0.8280,200,22.5300
3.4903,0.0000,0.0000,0.0001,2.6612,0.8289,200,26.2193
3.4916,0.0000,0.0000,0.0000,2.4698,1.0218,200,29.7095
6.2855,0.0000,0.0000,0.0000,3.1232,3.1623,200,33.2011
5.2233,0.0000,0.0000,0.0000,3.0120,2.2113,200,39.4867
3.6567,0.0000,0.0000,0.0000,2.5958,1.0608,200,44.7099
3.5921,0.0000,0.0000,0.0000,2.5321,1.0599,200,48.3666
3.6547,0.0000,0.0000,0.0000,2.8206,0.8341,200,51.9587
3.6858,0.0000,0.0000,0.0000,2.6540,1.0317,200,55.6134
3.5093,0.0000,0.0000,0.0001,2.6559,0.8533,200,59.2992
3.1226,0.0000,0.0000,0.0000,2.4112,0.7113,200,62.8084
3.4986,0.0000,0.0000,0.0000,2.4738,1.0248,200,65.9310
3.4764,0.0000,0.0000,0.0001,2.4602,1.0162,200,69.4296
3.5168,0.0000,0.0000,0.0001,2.4854,1.0312,200,72.9061
3.4698,0.0000,0.0000,0.0000,2.4694,1.0003,200,76.4228
