response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8106,0.0007,0.0000,0.0002,1.5874,1.2222,200,0.0002
2.1027,0.0000,0.0000,0.0000,0.9970,1.1056,200,2.8108
2.0563,0.0000,0.0000,0.0000,1.0264,1.0299,200,4.9135
1.9885,0.0000,0.0000,0.0001,1.1700,0.8184,200,6.9698
1.9903,0.0000,0.0000,0.0000,0.9705,1.0196,200,8.9583
1.9531,0.0000,0.0000,0.0001,1.1351,0.8179,200,10.9486
1.8158,0.0000,0.0000,0.0000,0.9839,0.8318,200,12.9017
1.7966,0.0000,0.0000,0.0001,1.1718,0.6246,200,14.7174
1.9276,0.0000,0.0000,0.0000,1.1006,0.8269,200,16.5140
2.8282,0.0000,0.0000,0.0001,1.2190,1.6091,200,18.4416
2.2765,0.0000,0.0000,0.0000,1.4584,0.8181,200,21.2698
1.9597,0.0000,0.0000,0.0000,1.1336,0.8260,200,23.5462
1.8413,0.0000,0.0000,0.0000,1.0164,0.8248,200,25.5059
2.0797,0.0000,0.0000,0.0000,1.1728,0.9069,200,27.3472
2.1169,0.0000,0.0000,0.0000,1.0896,1.0273,200,29.4270
2.4574,0.0000,0.0000,0.0001,1.6283,0.8289,200,31.5439
1.8919,0.0000,0.0000,0.0000,1.0746,0.8172,200,34.0013
2.1276,0.0000,0.0000,0.0000,1.2761,0.8514,200,35.8932
1.9852,0.0000,0.0000,0.0000,1.1722,0.8129,200,38.0208
2.0928,0.0000,0.0000,0.0000,1.2630,0.8298,200,40.0060
