response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1761,0.0008,0.0000,0.0002,1.2653,0.9097,200,0.0002
1.5478,0.0000,0.0000,0.0001,0.8493,0.6984,200,2.1763
4.3001,0.0000,0.0000,0.0000,2.3231,1.9770,200,3.7241
2.3140,0.0000,0.0000,0.0000,0.9216,1.3923,200,8.0242
2.0446,0.0000,0.0000,0.0000,0.7588,1.2858,200,10.3382
1.8905,0.0000,0.0000,0.0000,0.8649,1.0255,200,12.3829
1.4730,0.0000,0.0000,0.0000,0.8175,0.6555,200,14.2733
1.4804,0.0000,0.0000,0.0000,1.0760,0.4044,200,15.7463
1.3533,0.0000,0.0000,0.0000,0.9369,0.4164,200,17.2267
1.2254,0.0000,0.0000,0.0000,0.8118,0.4135,200,18.5801
1.0847,0.0000,0.0000,0.0000,0.6669,0.4177,200,19.8054
1.1722,0.0000,0.0000,0.0000,0.7543,0.4179,200,20.8901
1.1223,0.0000,0.0000,0.0000,0.7096,0.4127,200,22.0623
1.1198,0.0000,0.0000,0.0001,0.7082,0.4115,200,23.1847
1.5620,0.0000,0.0000,0.0000,0.9248,0.6372,200,24.3045
1.3161,0.0000,0.0000,0.0000,0.9019,0.4142,200,25.8664
1.2213,0.0000,0.0000,0.0000,0.8117,0.4095,200,27.1826
1.4242,0.0000,0.0000,0.0000,0.8184,0.6057,200,28.4039
1.2629,0.0000,0.0000,0.0000,0.8593,0.4036,200,29.8281
1.2909,0.0000,0.0000,0.0000,0.8726,0.4183,200,31.0910
