response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2608,0.0006,0.0000,0.0002,1.0857,1.1742,200,0.0002
1.7937,0.0000,0.0000,0.0001,0.6152,1.1783,200,2.2610
1.5931,0.0000,0.0000,0.0000,0.6093,0.9837,200,4.0547
2.1477,0.0000,0.0000,0.0000,0.9553,1.1923,200,5.6479
1.7845,0.0000,0.0000,0.0000,0.7996,0.9849,200,7.7955
1.7813,0.0000,0.0000,0.0000,0.8020,0.9792,200,9.5800
1.8507,0.0000,0.0000,0.0000,0.8215,1.0291,200,11.3614
1.8860,0.0000,0.0000,0.0000,0.8109,1.0750,200,13.2120
1.7911,0.0000,0.0000,0.0000,0.8109,0.9801,200,15.0980
1.8853,0.0000,0.0000,0.0000,0.8014,1.0838,200,16.8891
1.7938,0.0000,0.0000,0.0000,0.6005,1.1933,200,18.7744
1.7935,0.0000,0.0000,0.0000,0.8091,0.9843,200,20.5681
2.2008,0.0000,0.0000,0.0000,1.1933,1.0074,200,22.3616
1.9995,0.0000,0.0000,0.0000,0.6065,1.3929,200,24.5624
1.8961,0.0000,0.0000,0.0000,0.9320,0.9640,200,26.5619
2.3576,0.0000,0.0000,0.0000,1.0955,1.2621,200,28.4580
2.9837,0.0000,0.0000,0.0000,1.0235,1.9602,200,30.8156
2.7872,0.0000,0.0000,0.0000,0.7166,2.0706,200,33.7994
2.7443,0.0000,0.0000,0.0000,0.9994,1.7449,200,36.5866
2.6155,0.0000,0.0000,0.0001,0.8580,1.7574,200,39.3309
