response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.2998,0.0007,0.0000,0.0006,3.2983,0.0001,200,0.0002
2.7181,0.0000,0.0000,0.0000,2.7177,0.0004,200,3.3000
2.6410,0.0000,0.0000,0.0000,2.6409,0.0001,200,6.0181
2.9703,0.0000,0.0000,0.0000,2.9701,0.0001,200,8.6591
2.6957,0.0000,0.0000,0.0000,2.6956,0.0001,200,11.6294
2.7434,0.0000,0.0000,0.0000,2.7433,0.0001,200,14.3251
2.9231,0.0000,0.0000,0.0000,2.9230,0.0000,200,17.0684
2.7240,0.0000,0.0000,0.0000,2.7239,0.0000,200,19.9915
2.8129,0.0000,0.0000,0.0000,2.8128,0.0000,200,22.7156
2.7510,0.0000,0.0000,0.0000,2.7509,0.0000,200,25.5284
