response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.5416,0.0016,0.0000,0.0006,3.5383,0.0003,200,0.0013
2.3475,0.0000,0.0000,0.0001,2.3473,0.0001,200,3.5429
2.4097,0.0000,0.0000,0.0001,2.4095,0.0000,200,5.8904
2.1983,0.0000,0.0000,0.0000,2.1981,0.0002,200,8.3001
2.1504,0.0000,0.0000,0.0000,2.1502,0.0001,200,10.4984
2.1509,0.0000,0.0000,0.0001,2.1507,0.0001,200,12.6488
2.2218,0.0000,0.0000,0.0000,2.2217,0.0000,200,14.7997
2.0852,0.0000,0.0000,0.0000,2.0851,0.0000,200,17.0215
2.3036,0.0000,0.0000,0.0000,2.3035,0.0001,200,19.1067
2.2983,0.0000,0.0000,0.0000,2.2982,0.0001,200,21.4103
2.1500,0.0000,0.0000,0.0000,2.1499,0.0001,200,23.7086
2.1509,0.0000,0.0000,0.0000,2.1508,0.0001,200,25.8586
2.1508,0.0000,0.0000,0.0000,2.1507,0.0000,200,28.0094
2.1040,0.0000,0.0000,0.0000,2.1039,0.0001,200,30.1602
2.1965,0.0000,0.0000,0.0000,2.1964,0.0000,200,32.2642
2.4581,0.0000,0.0000,0.0000,2.4580,0.0001,200,34.4607
2.1760,0.0000,0.0000,0.0000,2.1758,0.0001,200,36.9189
2.1271,0.0000,0.0000,0.0000,2.1270,0.0001,200,39.0948
2.4554,0.0000,0.0000,0.0001,2.4553,0.0000,200,41.2220
3.4339,0.0000,0.0000,0.0000,3.4338,0.0000,200,43.6774
