response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.7877,0.0016,0.0000,0.0006,2.7846,0.0002,200,0.0012
2.3707,0.0000,0.0000,0.0001,2.3704,0.0002,200,2.7889
2.2373,0.0000,0.0000,0.0001,2.2371,0.0002,200,5.1596
2.6051,0.0000,0.0000,0.0000,2.6050,0.0001,200,7.3970
2.2494,0.0000,0.0000,0.0000,2.2492,0.0001,200,10.0021
3.7145,0.0000,0.0000,0.0000,3.7143,0.0001,200,12.2515
2.3300,0.0000,0.0000,0.0001,2.3299,0.0001,200,15.9660
2.2648,0.0000,0.0000,0.0000,2.2646,0.0001,200,18.2960
2.2777,0.0000,0.0000,0.0001,2.2775,0.0001,200,20.5608
2.4634,0.0000,0.0000,0.0000,2.4633,0.0001,200,22.8385
2.3322,0.0000,0.0000,0.0000,2.3321,0.0001,200,25.3019
2.3352,0.0000,0.0000,0.0000,2.3351,0.0000,200,27.6342
2.6179,0.0000,0.0000,0.0000,2.6178,0.0000,200,29.9694
2.2462,0.0000,0.0000,0.0000,2.2461,0.0000,200,32.5872
2.3439,0.0000,0.0000,0.0000,2.3438,0.0001,200,34.8334
2.3338,0.0000,0.0000,0.0000,2.3337,0.0000,200,37.1773
2.3332,0.0000,0.0000,0.0000,2.3331,0.0001,200,39.5111
2.0819,0.0000,0.0000,0.0000,2.0818,0.0001,200,41.8443
2.2290,0.0000,0.0000,0.0000,2.2289,0.0001,200,43.9262
2.2753,0.0000,0.0000,0.0000,2.2752,0.0000,200,46.1552
