response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8170,0.0021,0.0000,0.0008,2.8136,0.0001,200,0.0014
2.5924,0.0000,0.0000,0.0000,2.5921,0.0002,200,2.8184
2.7658,0.0000,0.0000,0.0000,2.7656,0.0001,200,5.4108
2.3417,0.0000,0.0000,0.0000,2.3416,0.0001,200,8.1765
8.0179,0.0000,0.0000,0.0000,8.0177,0.0001,200,10.5183
2.3206,0.0000,0.0000,0.0000,2.3204,0.0001,200,18.5362
2.6807,0.0000,0.0000,0.0001,2.6805,0.0001,200,20.8567
2.4571,0.0000,0.0000,0.0000,2.4570,0.0001,200,23.5375
2.4569,0.0000,0.0000,0.0000,2.4568,0.0001,200,25.9946
3.2624,0.0000,0.0000,0.0000,3.2623,0.0001,200,28.4515
2.5752,0.0000,0.0000,0.0000,2.5751,0.0001,200,31.7139
2.5122,0.0000,0.0000,0.0000,2.5121,0.0001,200,34.2891
7.9333,0.0000,0.0000,0.0000,7.9332,0.0001,200,36.8014
2.4567,0.0000,0.0000,0.0000,2.4566,0.0001,200,44.7347
2.4583,0.0000,0.0000,0.0000,2.4582,0.0001,200,47.1914
2.4576,0.0000,0.0000,0.0000,2.4575,0.0001,200,49.6497
2.4579,0.0000,0.0000,0.0000,2.4578,0.0001,200,52.1072
2.4576,0.0000,0.0000,0.0000,2.4575,0.0001,200,54.5652
2.2610,0.0000,0.0000,0.0000,2.2608,0.0001,200,57.0228
2.6543,0.0000,0.0000,0.0001,2.6541,0.0001,200,59.2838
