response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.5688,0.0022,0.0000,0.0007,3.5651,0.0003,200,0.0013
2.3414,0.0000,0.0000,0.0001,2.3412,0.0001,200,3.5701
2.5537,0.0000,0.0000,0.0000,2.5533,0.0003,200,5.9115
2.4570,0.0000,0.0000,0.0001,2.4567,0.0001,200,8.4652
4.7595,0.0000,0.0000,0.0001,4.7593,0.0001,200,10.9222
2.4293,0.0000,0.0000,0.0000,2.4292,0.0001,200,15.6817
2.6422,0.0000,0.0000,0.0000,2.6421,0.0001,200,18.1110
2.4573,0.0000,0.0000,0.0000,2.4572,0.0000,200,20.7532
2.4587,0.0000,0.0000,0.0000,2.4586,0.0000,200,23.2105
2.3322,0.0000,0.0000,0.0000,2.3321,0.0001,200,25.6692
2.3929,0.0000,0.0000,0.0000,2.3926,0.0001,200,28.0015
2.3943,0.0000,0.0000,0.0000,2.3941,0.0001,200,30.3943
2.3610,0.0000,0.0000,0.0000,2.3609,0.0001,200,32.7886
2.4995,0.0000,0.0000,0.0000,2.4994,0.0001,200,35.1496
2.3473,0.0000,0.0000,0.0001,2.3471,0.0001,200,37.6491
2.5678,0.0000,0.0000,0.0001,2.5677,0.0001,200,39.9963
2.4586,0.0000,0.0000,0.0000,2.4584,0.0001,200,42.5642
2.4579,0.0000,0.0000,0.0000,2.4577,0.0001,200,45.0227
4.7736,0.0000,0.0000,0.0000,4.7734,0.0001,200,47.4806
2.3417,0.0000,0.0000,0.0000,2.3416,0.0001,200,52.2541
