response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.5110,0.0043,0.0000,0.0008,4.5051,0.0002,200,0.0019
4.3007,0.0000,0.0000,0.0000,4.3005,0.0002,200,4.5129
3.9930,0.0000,0.0000,0.0000,3.9928,0.0001,200,8.8137
3.9942,0.0000,0.0000,0.0001,3.9940,0.0001,200,12.8067
4.1536,0.0000,0.0000,0.0000,4.1535,0.0001,200,16.8009
4.1418,0.0000,0.0000,0.0000,4.1417,0.0001,200,20.9544
4.3011,0.0000,0.0000,0.0000,4.3010,0.0001,200,25.0963
3.9196,0.0000,0.0000,0.0000,3.9194,0.0001,200,29.3974
3.9127,0.0000,0.0000,0.0001,3.9125,0.0001,200,33.3170
6.2982,0.0000,0.0000,0.0000,6.2981,0.0001,200,37.2297
3.9951,0.0000,0.0000,0.0000,3.9950,0.0001,200,43.5279
3.8872,0.0000,0.0000,0.0000,3.8871,0.0001,200,47.5230
3.9922,0.0000,0.0000,0.0001,3.9920,0.0001,200,51.4103
7.1726,0.0000,0.0000,0.0001,7.1724,0.0001,200,55.4025
3.9951,0.0000,0.0000,0.0000,3.9950,0.0001,200,62.5751
3.9931,0.0000,0.0000,0.0000,3.9930,0.0001,200,66.5702
3.9940,0.0000,0.0000,0.0000,3.9939,0.0001,200,70.5632
5.2227,0.0000,0.0000,0.0000,5.2225,0.0001,200,74.5573
3.9940,0.0000,0.0000,0.0000,3.9939,0.0001,200,79.7799
3.9248,0.0000,0.0000,0.0000,3.9246,0.0001,200,83.7740
