response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.7277,0.0011,0.0000,0.0002,2.7259,0.0004,200,0.0002
2.2954,0.0000,0.0000,0.0000,2.2952,0.0001,200,2.7279
2.2994,0.0000,0.0000,0.0001,2.2992,0.0001,200,5.0233
3.5690,0.0000,0.0000,0.0000,3.5688,0.0001,200,7.3227
2.5766,0.0000,0.0000,0.0000,2.5766,0.0000,200,10.8917
2.4963,0.0000,0.0000,0.0000,2.4934,0.0029,200,13.4684
2.2945,0.0000,0.0000,0.0000,2.2943,0.0001,200,15.9647
2.3034,0.0000,0.0000,0.0000,2.3033,0.0001,200,18.2591
3.2735,0.0000,0.0000,0.0000,3.2734,0.0001,200,20.5626
2.2637,0.0000,0.0000,0.0000,2.2636,0.0001,200,23.8361
