response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8770,0.0008,0.0000,0.0002,2.8757,0.0002,200,0.0002
2.4705,0.0000,0.0000,0.0000,2.4703,0.0002,200,2.8772
2.7652,0.0000,0.0000,0.0001,2.7650,0.0001,200,5.3477
2.4586,0.0000,0.0000,0.0000,2.4584,0.0001,200,8.1130
2.4884,0.0000,0.0000,0.0000,2.4883,0.0001,200,10.5716
2.7337,0.0000,0.0000,0.0000,2.7336,0.0001,200,13.0600
2.5114,0.0000,0.0000,0.0000,2.5112,0.0001,200,15.7937
2.4376,0.0000,0.0000,0.0000,2.4375,0.0001,200,18.3051
2.4728,0.0000,0.0000,0.0000,2.4727,0.0000,200,20.7427
2.7162,0.0000,0.0000,0.0000,2.7160,0.0001,200,23.2155
2.7644,0.0000,0.0000,0.0000,2.7643,0.0000,200,25.9317
2.4935,0.0000,0.0000,0.0000,2.4934,0.0001,200,28.6961
2.5952,0.0000,0.0000,0.0000,2.5951,0.0000,200,31.1897
2.5918,0.0000,0.0000,0.0000,2.5917,0.0001,200,33.7849
2.5500,0.0000,0.0000,0.0000,2.5499,0.0001,200,36.3767
2.5822,0.0000,0.0000,0.0000,2.5821,0.0001,200,38.9267
2.3995,0.0000,0.0000,0.0000,2.3994,0.0001,200,41.5088
2.4778,0.0000,0.0000,0.0001,2.4776,0.0001,200,43.9084
2.5869,0.0000,0.0000,0.0000,2.5868,0.0001,200,46.3862
2.5594,0.0000,0.0000,0.0000,2.5593,0.0001,200,48.9731
