response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.5857,0.0036,0.0000,0.0006,2.5802,0.0002,200,0.0026
2.1000,0.0000,0.0000,0.0001,2.0998,0.0001,200,2.5883
2.2179,0.0000,0.0000,0.0000,2.2177,0.0001,200,4.6883
2.1418,0.0000,0.0000,0.0000,2.1417,0.0001,200,6.9062
2.1403,0.0000,0.0000,0.0000,2.1402,0.0001,200,9.0480
2.1042,0.0000,0.0000,0.0000,2.1041,0.0001,200,11.1883
2.1670,0.0000,0.0000,0.0001,2.1668,0.0001,200,13.2925
2.2527,0.0000,0.0000,0.0000,2.2526,0.0001,200,15.4594
2.1502,0.0000,0.0000,0.0000,2.1501,0.0001,200,17.7121
2.1405,0.0000,0.0000,0.0001,2.1403,0.0001,200,19.8623
2.1983,0.0000,0.0000,0.0001,2.1981,0.0001,200,22.0028
2.0904,0.0000,0.0000,0.0000,2.0903,0.0001,200,24.2010
2.1911,0.0000,0.0000,0.0000,2.1910,0.0000,200,26.2915
2.1324,0.0000,0.0000,0.0000,2.1323,0.0001,200,28.4826
2.2950,0.0000,0.0000,0.0000,2.2949,0.0001,200,30.6150
2.1760,0.0000,0.0000,0.0000,2.1759,0.0000,200,32.9101
2.2610,0.0000,0.0000,0.0000,2.2609,0.0001,200,35.0860
2.2076,0.0000,0.0000,0.0000,2.2074,0.0001,200,37.3470
5.7152,0.0000,0.0000,0.0000,5.7151,0.0001,200,39.5546
2.1332,0.0000,0.0000,0.0000,2.1331,0.0001,200,45.2698
