response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.2127,0.0008,0.0000,0.0002,5.2115,0.0002,200,0.0002
2.9194,0.0000,0.0000,0.0000,2.9192,0.0001,200,5.2129
2.6304,0.0000,0.0000,0.0000,2.6302,0.0001,200,8.1323
7.9896,0.0000,0.0000,0.0000,7.9894,0.0000,200,10.7626
2.4296,0.0000,0.0000,0.0000,2.4296,0.0000,200,18.7522
2.7903,0.0000,0.0000,0.0000,2.7902,0.0000,200,21.1818
2.7666,0.0000,0.0000,0.0000,2.7665,0.0000,200,23.9721
3.9869,0.0000,0.0000,0.0000,3.9868,0.0000,200,26.7387
2.7718,0.0000,0.0000,0.0000,2.7717,0.0001,200,30.7256
2.5093,0.0000,0.0000,0.0000,2.5092,0.0001,200,33.4974
2.7136,0.0000,0.0000,0.0000,2.7135,0.0001,200,36.0067
2.4534,0.0000,0.0000,0.0000,2.4533,0.0001,200,38.7203
2.4915,0.0000,0.0000,0.0000,2.4915,0.0000,200,41.1738
2.6225,0.0000,0.0000,0.0000,2.6224,0.0001,200,43.6653
2.7882,0.0000,0.0000,0.0000,2.7881,0.0001,200,46.2879
2.4855,0.0000,0.0000,0.0001,2.4853,0.0000,200,49.0761
3.1327,0.0000,0.0000,0.0000,3.1325,0.0001,200,51.5616
2.8204,0.0000,0.0000,0.0000,2.8203,0.0001,200,54.6942
2.7098,0.0000,0.0000,0.0001,2.7097,0.0001,200,57.5146
2.6284,0.0000,0.0000,0.0000,2.6283,0.0000,200,60.2244
