response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.6198,0.0015,0.0000,0.0006,4.6163,0.0003,200,0.0012
4.2319,0.0000,0.0000,0.0001,4.2316,0.0001,200,4.6210
4.1828,0.0000,0.0000,0.0000,4.1826,0.0002,200,8.8529
4.4494,0.0000,0.0000,0.0001,4.4491,0.0002,200,13.0358
4.1626,0.0000,0.0000,0.0001,4.1624,0.0001,200,17.4852
4.4389,0.0000,0.0000,0.0000,4.4388,0.0001,200,21.6478
4.3017,0.0000,0.0000,0.0000,4.3015,0.0001,200,26.0867
4.2502,0.0000,0.0000,0.0000,4.2500,0.0001,200,30.3884
4.3506,0.0000,0.0000,0.0000,4.3505,0.0001,200,34.6386
4.3014,0.0000,0.0000,0.0000,4.3012,0.0001,200,38.9892
4.1425,0.0000,0.0000,0.0000,4.1423,0.0001,200,43.2906
4.1541,0.0000,0.0000,0.0000,4.1540,0.0001,200,47.4330
4.2983,0.0000,0.0000,0.0000,4.2982,0.0000,200,51.5872
4.3018,0.0000,0.0000,0.0000,4.3018,0.0001,200,55.8854
4.5495,0.0000,0.0000,0.0000,4.5494,0.0001,200,60.1873
4.3593,0.0000,0.0000,0.0000,4.3591,0.0000,200,64.7368
4.1484,0.0000,0.0000,0.0000,4.1482,0.0001,200,69.0961
4.2928,0.0000,0.0000,0.0000,4.2925,0.0002,200,73.2445
4.3009,0.0000,0.0000,0.0000,4.3007,0.0001,200,77.5372
4.8794,0.0000,0.0000,0.0000,4.8770,0.0001,200,81.8381
