response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.9009,0.0008,0.0000,0.0001,2.8997,0.0001,200,0.0003
2.5697,0.0000,0.0000,0.0000,2.5695,0.0001,200,2.9012
2.5262,0.0000,0.0000,0.0001,2.5260,0.0001,200,5.4709
3.0806,0.0000,0.0000,0.0000,3.0805,0.0001,200,7.9971
2.7650,0.0000,0.0000,0.0000,2.7649,0.0000,200,11.0778
2.7653,0.0000,0.0000,0.0000,2.7651,0.0001,200,13.8428
2.7141,0.0000,0.0000,0.0000,2.7140,0.0001,200,16.6081
2.6060,0.0000,0.0000,0.0000,2.6059,0.0001,200,19.3222
2.6694,0.0000,0.0000,0.0000,2.6693,0.0000,200,21.9282
2.4559,0.0000,0.0000,0.0000,2.4558,0.0001,200,24.5976
2.7623,0.0000,0.0000,0.0000,2.7622,0.0001,200,27.0535
2.5579,0.0000,0.0000,0.0000,2.5578,0.0000,200,29.8158
2.4896,0.0000,0.0000,0.0000,2.4895,0.0001,200,32.3736
2.9435,0.0000,0.0000,0.0000,2.9434,0.0001,200,34.8632
2.7638,0.0000,0.0000,0.0001,2.7637,0.0001,200,37.8068
2.4794,0.0000,0.0000,0.0000,2.4793,0.0001,200,40.5706
2.7449,0.0000,0.0000,0.0000,2.7448,0.0000,200,43.0499
2.7635,0.0000,0.0000,0.0000,2.7633,0.0001,200,45.7948
2.5574,0.0000,0.0000,0.0001,2.5572,0.0001,200,48.5583
2.5489,0.0000,0.0000,0.0000,2.5488,0.0001,200,51.1157
