response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.7734,0.0021,0.0000,0.0007,2.7700,0.0002,200,0.0013
2.7634,0.0000,0.0000,0.0000,2.7631,0.0002,200,2.7748
2.1981,0.0000,0.0000,0.0001,2.1978,0.0001,200,5.5381
2.2812,0.0000,0.0000,0.0000,2.2810,0.0001,200,7.7362
2.1794,0.0000,0.0000,0.0001,2.1791,0.0001,200,10.0174
2.3132,0.0000,0.0000,0.0001,2.3130,0.0001,200,12.1969
2.2459,0.0000,0.0000,0.0000,2.2458,0.0001,200,14.5101
2.2594,0.0000,0.0000,0.0000,2.2593,0.0000,200,16.7560
2.4978,0.0000,0.0000,0.0000,2.4977,0.0001,200,19.0155
2.4587,0.0000,0.0000,0.0000,2.4586,0.0001,200,21.5133
2.2101,0.0000,0.0000,0.0000,2.2100,0.0001,200,23.9721
2.3975,0.0000,0.0000,0.0001,2.3973,0.0001,200,26.1822
2.4579,0.0000,0.0000,0.0000,2.4578,0.0000,200,28.5797
2.4583,0.0000,0.0000,0.0000,2.4582,0.0001,200,31.0377
2.2538,0.0000,0.0000,0.0000,2.2535,0.0001,200,33.4960
2.2080,0.0000,0.0000,0.0001,2.2078,0.0001,200,35.7497
2.2963,0.0000,0.0000,0.0001,2.2962,0.0000,200,37.9577
2.4575,0.0000,0.0000,0.0000,2.4573,0.0002,200,40.2540
2.1540,0.0000,0.0000,0.0000,2.1539,0.0001,200,42.7116
2.4546,0.0000,0.0000,0.0001,2.4545,0.0000,200,44.8656
