response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.4748,0.0008,0.0000,0.0001,3.4736,0.0002,200,0.0003
2.6761,0.0000,0.0000,0.0001,2.6759,0.0001,200,3.4750
2.7660,0.0000,0.0000,0.0000,2.7658,0.0001,200,6.1511
2.6829,0.0000,0.0000,0.0001,2.6828,0.0000,200,8.9171
2.9085,0.0000,0.0000,0.0000,2.9084,0.0001,200,11.6000
2.5707,0.0000,0.0000,0.0000,2.5706,0.0001,200,14.5085
2.7051,0.0000,0.0000,0.0000,2.7049,0.0001,200,17.0792
2.7639,0.0000,0.0000,0.0000,2.7638,0.0001,200,19.7843
2.6165,0.0000,0.0000,0.0000,2.6164,0.0001,200,22.5482
2.6244,0.0000,0.0000,0.0000,2.6243,0.0001,200,25.1647
2.7476,0.0000,0.0000,0.0000,2.7474,0.0001,200,27.7891
2.7650,0.0000,0.0000,0.0000,2.7649,0.0001,200,30.5367
2.7640,0.0000,0.0000,0.0000,2.7639,0.0001,200,33.3017
2.7657,0.0000,0.0000,0.0000,2.7656,0.0001,200,36.0657
2.6738,0.0000,0.0000,0.0000,2.6737,0.0001,200,38.8314
2.8556,0.0000,0.0000,0.0000,2.8555,0.0001,200,41.5052
2.6827,0.0000,0.0000,0.0000,2.6826,0.0001,200,44.3609
2.8471,0.0000,0.0000,0.0000,2.8470,0.0001,200,47.0435
2.7652,0.0000,0.0000,0.0000,2.7651,0.0001,200,49.8907
2.7048,0.0000,0.0000,0.0000,2.7046,0.0001,200,52.6559
