response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.3362,0.0017,0.0000,0.0005,3.3329,0.0001,200,0.0013
3.0727,0.0000,0.0000,0.0000,3.0724,0.0003,200,3.3375
3.3231,0.0000,0.0000,0.0000,3.3230,0.0001,200,6.4103
3.1285,0.0000,0.0000,0.0001,3.1282,0.0001,200,9.7334
2.7515,0.0000,0.0000,0.0000,2.7514,0.0001,200,12.8619
3.3929,0.0000,0.0000,0.0000,3.3928,0.0001,200,15.6134
2.9765,0.0000,0.0000,0.0000,2.9764,0.0001,200,19.0063
3.1682,0.0000,0.0000,0.0000,3.1681,0.0001,200,21.9828
2.9995,0.0000,0.0000,0.0001,2.9994,0.0001,200,25.1510
2.8280,0.0000,0.0000,0.0000,2.8278,0.0001,200,28.1505
3.0805,0.0000,0.0000,0.0000,3.0803,0.0001,200,30.9784
2.9750,0.0000,0.0000,0.0000,2.9749,0.0001,200,34.0589
2.9074,0.0000,0.0000,0.0000,2.9072,0.0001,200,37.0339
2.8091,0.0000,0.0000,0.0000,2.8090,0.0001,200,39.9413
2.9835,0.0000,0.0000,0.0000,2.9834,0.0001,200,42.7504
2.7667,0.0000,0.0000,0.0000,2.7666,0.0001,200,45.7340
2.7634,0.0000,0.0000,0.0000,2.7632,0.0001,200,48.5007
2.7233,0.0000,0.0000,0.0000,2.7232,0.0001,200,51.2640
3.6166,0.0000,0.0000,0.0000,3.6165,0.0000,200,53.9874
3.3818,0.0000,0.0000,0.0000,3.3817,0.0001,200,57.6040
