response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.6269,0.0007,0.0000,0.0001,2.6258,0.0002,200,0.0002
2.0819,0.0000,0.0000,0.0001,2.0817,0.0001,200,2.6271
2.1410,0.0000,0.0000,0.0000,2.1408,0.0002,200,4.7090
2.2024,0.0000,0.0000,0.0001,2.2022,0.0001,200,6.8500
2.0502,0.0000,0.0000,0.0000,2.0501,0.0001,200,9.0524
2.1128,0.0000,0.0000,0.0000,2.1127,0.0000,200,11.1027
2.2891,0.0000,0.0000,0.0000,2.2890,0.0000,200,13.2154
2.0431,0.0000,0.0000,0.0000,2.0430,0.0001,200,15.5045
2.2565,0.0000,0.0000,0.0000,2.2563,0.0001,200,17.5477
2.1514,0.0000,0.0000,0.0001,2.1512,0.0001,200,19.8041
2.1513,0.0000,0.0000,0.0000,2.1512,0.0001,200,21.9556
2.1299,0.0000,0.0000,0.0000,2.1297,0.0000,200,24.1069
2.4368,0.0000,0.0000,0.0000,2.4367,0.0001,200,26.2368
2.1150,0.0000,0.0000,0.0000,2.1148,0.0001,200,28.6735
2.1106,0.0000,0.0000,0.0000,2.1105,0.0001,200,30.7885
2.2677,0.0000,0.0000,0.0000,2.2676,0.0001,200,32.8991
2.1494,0.0000,0.0000,0.0000,2.1492,0.0001,200,35.1668
2.1260,0.0000,0.0000,0.0000,2.1259,0.0001,200,37.3162
2.1752,0.0000,0.0000,0.0001,2.1750,0.0001,200,39.4422
2.1504,0.0000,0.0000,0.0000,2.1503,0.0001,200,41.6174
