response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.9719,0.0009,0.0000,0.0001,2.9706,0.0001,200,0.0002
2.7654,0.0000,0.0000,0.0000,2.7653,0.0001,200,2.9721
2.4572,0.0000,0.0000,0.0000,2.4570,0.0001,200,5.7376
2.4577,0.0000,0.0000,0.0001,2.4576,0.0001,200,8.1948
2.4577,0.0000,0.0000,0.0000,2.4575,0.0001,200,10.6525
2.7655,0.0000,0.0000,0.0000,2.7653,0.0001,200,13.1102
2.4290,0.0000,0.0000,0.0000,2.4289,0.0001,200,15.8757
2.7928,0.0000,0.0000,0.0000,2.7926,0.0001,200,18.3047
2.4582,0.0000,0.0000,0.0000,2.4581,0.0001,200,21.0974
2.4154,0.0000,0.0000,0.0000,2.4152,0.0001,200,23.5557
2.4147,0.0000,0.0000,0.0000,2.4146,0.0000,200,25.9710
2.4368,0.0000,0.0000,0.0000,2.4367,0.0001,200,28.3857
2.4282,0.0000,0.0000,0.0000,2.4281,0.0001,200,30.8225
2.4437,0.0000,0.0000,0.0000,2.4436,0.0001,200,33.2507
2.6076,0.0000,0.0000,0.0000,2.6075,0.0001,200,35.6944
2.5922,0.0000,0.0000,0.0000,2.5921,0.0001,200,38.3021
2.4231,0.0000,0.0000,0.0000,2.4230,0.0001,200,40.8943
2.3913,0.0000,0.0000,0.0000,2.3911,0.0001,200,43.3174
2.3777,0.0000,0.0000,0.0000,2.3775,0.0001,200,45.7087
2.5041,0.0000,0.0000,0.0000,2.5040,0.0001,200,48.0864
