response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.7472,0.0015,0.0000,0.0006,2.7442,0.0002,200,0.0012
2.2313,0.0000,0.0000,0.0000,2.2312,0.0001,200,2.7484
2.1296,0.0000,0.0000,0.0000,2.1295,0.0001,200,4.9797
2.1234,0.0000,0.0000,0.0000,2.1232,0.0002,200,7.1094
2.0322,0.0000,0.0000,0.0001,2.0320,0.0001,200,9.2328
2.0649,0.0000,0.0000,0.0001,2.0647,0.0001,200,11.2650
2.0524,0.0000,0.0000,0.0000,2.0523,0.0001,200,13.3299
2.0926,0.0000,0.0000,0.0000,2.0925,0.0001,200,15.3823
1.9981,0.0000,0.0000,0.0000,1.9978,0.0002,200,17.4749
2.0959,0.0000,0.0000,0.0001,2.0957,0.0001,200,19.4729
1.9872,0.0000,0.0000,0.0000,1.9870,0.0001,200,21.5688
2.0281,0.0000,0.0000,0.0000,2.0280,0.0001,200,23.5560
2.1294,0.0000,0.0000,0.0000,2.1293,0.0001,200,25.5842
2.3551,0.0000,0.0000,0.0000,2.3549,0.0001,200,27.7135
2.2525,0.0000,0.0000,0.0000,2.2524,0.0001,200,30.0686
2.1517,0.0000,0.0000,0.0000,2.1516,0.0001,200,32.3211
2.1502,0.0000,0.0000,0.0000,2.1501,0.0001,200,34.4729
2.0207,0.0000,0.0000,0.0000,2.0206,0.0001,200,36.6231
2.0166,0.0000,0.0000,0.0000,2.0165,0.0001,200,38.6438
2.1089,0.0000,0.0000,0.0000,2.1065,0.0023,200,40.6604
