response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8693,0.0030,0.0000,0.0010,2.8631,0.0004,200,0.0024
2.2423,0.0000,0.0000,0.0001,2.2420,0.0001,200,2.8716
2.2670,0.0000,0.0000,0.0000,2.2669,0.0001,200,5.1139
2.3955,0.0000,0.0000,0.0000,2.3953,0.0001,200,7.3809
2.3273,0.0000,0.0000,0.0000,2.3272,0.0001,200,9.7764
2.2994,0.0000,0.0000,0.0000,2.2992,0.0001,200,12.1037
2.3505,0.0000,0.0000,0.0000,2.3503,0.0001,200,14.4031
2.3070,0.0000,0.0000,0.0001,2.3069,0.0001,200,16.7536
2.5488,0.0000,0.0000,0.0000,2.5487,0.0001,200,19.0606
2.4579,0.0000,0.0000,0.0000,2.4577,0.0001,200,21.6094
2.2887,0.0000,0.0000,0.0000,2.2886,0.0001,200,24.0673
2.3021,0.0000,0.0000,0.0000,2.3020,0.0001,200,26.3559
2.2840,0.0000,0.0000,0.0001,2.2839,0.0001,200,28.6581
2.3061,0.0000,0.0000,0.0001,2.3059,0.0001,200,30.9421
2.4925,0.0000,0.0000,0.0000,2.4924,0.0001,200,33.2482
2.2880,0.0000,0.0000,0.0000,2.2879,0.0001,200,35.7407
2.5747,0.0000,0.0000,0.0001,2.5745,0.0001,200,38.0287
2.4208,0.0000,0.0000,0.0000,2.4207,0.0001,200,40.6034
2.4222,0.0000,0.0000,0.0000,2.4221,0.0001,200,43.0242
2.4634,0.0000,0.0000,0.0000,2.4632,0.0001,200,45.4464
