response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.2717,0.0008,0.0000,0.0002,3.2705,0.0001,200,0.0002
2.8951,0.0000,0.0000,0.0000,2.8949,0.0001,200,3.2719
3.3783,0.0000,0.0000,0.0000,3.3781,0.0002,200,6.1669
2.7841,0.0000,0.0000,0.0000,2.7840,0.0000,200,9.5453
2.7833,0.0000,0.0000,0.0000,2.7832,0.0001,200,12.3294
2.9893,0.0000,0.0000,0.0000,2.9892,0.0001,200,15.1127
2.7455,0.0000,0.0000,0.0000,2.7454,0.0001,200,18.1020
3.0215,0.0000,0.0000,0.0000,3.0214,0.0001,200,20.8476
2.7723,0.0000,0.0000,0.0000,2.7722,0.0001,200,23.8691
2.7729,0.0000,0.0000,0.0000,2.7728,0.0001,200,26.6414
2.8656,0.0000,0.0000,0.0000,2.8655,0.0001,200,29.4143
2.9723,0.0000,0.0000,0.0000,2.9722,0.0001,200,32.2799
3.1359,0.0000,0.0000,0.0000,3.1358,0.0001,200,35.2521
2.9011,0.0000,0.0000,0.0000,2.9010,0.0001,200,38.3881
3.6885,0.0000,0.0000,0.0000,3.6884,0.0001,200,41.2892
3.2509,0.0000,0.0000,0.0000,3.2508,0.0000,200,44.9776
3.0470,0.0000,0.0000,0.0000,3.0469,0.0000,200,48.2285
3.1253,0.0000,0.0000,0.0000,3.1252,0.0001,200,51.2755
2.8904,0.0000,0.0000,0.0000,2.8903,0.0000,200,54.4009
2.9439,0.0000,0.0000,0.0000,2.9437,0.0001,200,57.2912
