response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.3805,0.0006,0.0000,0.0002,3.3794,0.0002,200,0.0002
2.7657,0.0000,0.0000,0.0001,2.7655,0.0000,200,3.3807
3.0718,0.0000,0.0000,0.0000,3.0716,0.0001,200,6.1464
4.5608,0.0000,0.0000,0.0000,4.5607,0.0001,200,9.2181
3.1200,0.0000,0.0000,0.0000,3.1199,0.0001,200,13.7789
2.7404,0.0000,0.0000,0.0000,2.7402,0.0000,200,16.8989
3.0958,0.0000,0.0000,0.0000,3.0957,0.0000,200,19.6393
2.9955,0.0000,0.0000,0.0000,2.9954,0.0001,200,22.7351
3.4258,0.0000,0.0000,0.0000,3.4256,0.0001,200,25.7306
2.5760,0.0000,0.0000,0.0000,2.5759,0.0000,200,29.1564
2.5107,0.0000,0.0000,0.0000,2.5106,0.0001,200,31.7325
2.5120,0.0000,0.0000,0.0000,2.5118,0.0001,200,34.2432
2.8776,0.0000,0.0000,0.0000,2.8774,0.0001,200,36.7551
12.4961,0.0000,0.0000,0.0000,12.4959,0.0001,200,39.6327
5.1166,0.0000,0.0000,0.0000,5.1164,0.0002,200,52.1288
2.9635,0.0000,0.0000,0.0001,2.9633,0.0000,200,57.2454
3.0797,0.0000,0.0000,0.0000,3.0796,0.0001,200,60.2090
2.5383,0.0000,0.0000,0.0000,2.5382,0.0001,200,63.2887
2.6330,0.0000,0.0000,0.0000,2.6329,0.0000,200,65.8270
3.1218,0.0000,0.0000,0.0000,3.1217,0.0000,200,68.4600
