response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8843,0.0009,0.0000,0.0002,2.8829,0.0002,200,0.0002
2.0811,0.0000,0.0000,0.0000,2.0809,0.0001,200,2.8846
2.2199,0.0000,0.0000,0.0000,2.2197,0.0001,200,4.9656
2.1054,0.0000,0.0000,0.0000,2.1051,0.0002,200,7.1855
2.1948,0.0000,0.0000,0.0001,2.1946,0.0001,200,9.2909
2.0123,0.0000,0.0000,0.0000,2.0122,0.0001,200,11.4856
2.2895,0.0000,0.0000,0.0000,2.2894,0.0001,200,13.4980
2.1494,0.0000,0.0000,0.0000,2.1493,0.0001,200,15.7875
2.0873,0.0000,0.0000,0.0000,2.0872,0.0001,200,17.9369
2.1595,0.0000,0.0000,0.0000,2.1593,0.0001,200,20.0242
2.2055,0.0000,0.0000,0.0000,2.2054,0.0001,200,22.1837
2.0651,0.0000,0.0000,0.0000,2.0650,0.0001,200,24.3891
2.2373,0.0000,0.0000,0.0000,2.2372,0.0001,200,26.4543
2.1494,0.0000,0.0000,0.0000,2.1493,0.0001,200,28.6916
2.0316,0.0000,0.0000,0.0000,2.0314,0.0002,200,30.8410
2.2687,0.0000,0.0000,0.0000,2.2686,0.0001,200,32.8726
2.1508,0.0000,0.0000,0.0001,2.1507,0.0001,200,35.1413
2.0812,0.0000,0.0000,0.0000,2.0811,0.0001,200,37.2921
2.2201,0.0000,0.0000,0.0000,2.2199,0.0001,200,39.3733
2.2638,0.0000,0.0000,0.0000,2.2636,0.0001,200,41.5934
