response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
3.2222,0.0018,0.0000,0.0006,3.2181,0.0002,200,0.0015
2.8298,0.0000,0.0000,0.0000,2.8295,0.0002,200,3.2237
2.8244,0.0000,0.0000,0.0000,2.8243,0.0001,200,6.0535
2.7603,0.0000,0.0000,0.0000,2.7602,0.0001,200,8.8779
2.3611,0.0000,0.0000,0.0002,2.3606,0.0002,200,11.6382
2.5705,0.0000,0.0000,0.0001,2.5703,0.0001,200,13.9993
2.3876,0.0000,0.0000,0.0000,2.3874,0.0001,200,16.5698
2.5215,0.0000,0.0000,0.0000,2.5213,0.0001,200,18.9574
2.6884,0.0000,0.0000,0.0000,2.6883,0.0001,200,21.4789
2.3418,0.0000,0.0000,0.0000,2.3417,0.0000,200,24.1673
2.9407,0.0000,0.0000,0.0000,2.9406,0.0000,200,26.5091
2.5353,0.0000,0.0000,0.0000,2.5352,0.0001,200,29.4498
2.3326,0.0000,0.0000,0.0001,2.3324,0.0001,200,31.9850
2.4580,0.0000,0.0000,0.0000,2.4579,0.0000,200,34.3176
2.3531,0.0000,0.0000,0.0000,2.3530,0.0001,200,36.7756
3.7910,0.0000,0.0000,0.0000,3.7909,0.0001,200,39.1287
2.4573,0.0000,0.0000,0.0000,2.4571,0.0001,200,42.9197
4.7601,0.0000,0.0000,0.0000,4.7600,0.0001,200,45.3770
2.5853,0.0000,0.0000,0.0000,2.5851,0.0001,200,50.1371
2.4856,0.0000,0.0000,0.0000,2.4855,0.0000,200,52.7224
