response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.9720,0.0008,0.0000,0.0001,2.9707,0.0002,200,0.0002
2.4582,0.0000,0.0000,0.0000,2.4580,0.0001,200,2.9722
2.1677,0.0000,0.0000,0.0000,2.1675,0.0001,200,5.4304
2.2232,0.0000,0.0000,0.0000,2.2231,0.0001,200,7.5980
2.2194,0.0000,0.0000,0.0001,2.2193,0.0000,200,9.8212
2.2664,0.0000,0.0000,0.0000,2.2663,0.0001,200,12.0406
2.1821,0.0000,0.0000,0.0000,2.1820,0.0001,200,14.3070
2.1899,0.0000,0.0000,0.0000,2.1898,0.0001,200,16.4891
2.4190,0.0000,0.0000,0.0000,2.4188,0.0000,200,18.6790
2.4570,0.0000,0.0000,0.0000,2.4569,0.0001,200,21.0979
2.2236,0.0000,0.0000,0.0000,2.2235,0.0001,200,23.5549
2.1613,0.0000,0.0000,0.0000,2.1612,0.0001,200,25.7785
2.2934,0.0000,0.0000,0.0000,2.2933,0.0001,200,27.9398
2.1714,0.0000,0.0000,0.0000,2.1713,0.0001,200,30.2332
2.1679,0.0000,0.0000,0.0000,2.1678,0.0001,200,32.4046
2.1560,0.0000,0.0000,0.0000,2.1558,0.0001,200,34.5725
2.1881,0.0000,0.0000,0.0001,2.1880,0.0000,200,36.7285
2.2711,0.0000,0.0000,0.0000,2.2710,0.0000,200,38.9166
2.3366,0.0000,0.0000,0.0000,2.3366,0.0000,200,41.1877
2.1248,0.0000,0.0000,0.0000,2.1247,0.0001,200,43.5243
