response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.5383,0.0017,0.0000,0.0001,2.5328,0.0026,500,0.0010
1.8307,0.0000,0.0000,0.0002,1.8301,0.0001,500,2.5393
2.7735,0.0000,0.0000,0.0000,1.8089,0.9645,500,4.3700
2.4579,0.0000,0.0000,0.0001,2.4578,0.0001,500,7.1435
2.2873,0.0000,0.0000,0.0000,2.2871,0.0001,500,9.6014
2.0559,0.0000,0.0000,0.0000,2.0558,0.0001,500,11.8887
1.8228,0.0000,0.0000,0.0000,1.8226,0.0001,500,13.9446
2.8249,0.0000,0.0000,0.0001,1.8206,1.0042,500,15.7674
1.7224,0.0000,0.0000,0.0000,1.7222,0.0001,500,18.5922
1.7800,0.0000,0.0000,0.0000,1.7799,0.0001,500,20.3146
