response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
89.5890,0.0007,0.0000,0.0002,89.5877,0.0002,200,0.0003
89.7181,0.0000,0.0000,0.0000,89.7180,0.0001,200,89.5894
89.5121,0.0000,0.0000,0.0000,89.5120,0.0001,200,179.3075
89.3505,0.0000,0.0000,0.0000,89.3504,0.0001,200,268.8196
89.6422,0.0000,0.0000,0.0000,89.6420,0.0001,200,358.1701
88.8787,0.0000,0.0000,0.0000,88.8786,0.0001,200,447.8123
90.2258,0.0000,0.0000,0.0000,90.2256,0.0001,200,536.6910
89.0788,0.0000,0.0000,0.0001,88.9688,0.1099,200,626.9168
89.3013,0.0000,0.0000,0.0000,89.3011,0.0002,200,715.9956
88.9032,0.0000,0.0000,0.0001,88.9030,0.0001,200,805.2969
