response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
114.1090,0.0009,0.0000,0.0002,113.7127,0.3948,200,0.0002
113.7780,0.0000,0.0000,0.0000,113.5801,0.1978,200,114.1092
113.3618,0.0000,0.0000,0.0000,113.3616,0.0002,200,227.8872
113.6676,0.0000,0.0000,0.0000,113.6663,0.0012,200,341.2490
113.8578,0.0000,0.0000,0.0000,113.8577,0.0001,200,454.9167
116.7147,0.0017,0.0000,0.0004,116.5164,0.1953,200,0.0010
115.6154,0.0000,0.0000,0.0001,115.6113,0.0040,200,116.7158
116.6402,0.0000,0.0000,0.0001,116.4423,0.1978,200,232.3312
114.7243,0.0000,0.0000,0.0000,114.7241,0.0001,200,348.9714
116.0039,0.0000,0.0000,0.0000,115.4185,0.5853,200,463.6957
