response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
80.5906,0.0007,0.0000,0.0001,80.5895,0.0001,200,0.0002
79.8879,0.0000,0.0000,0.0000,79.8876,0.0002,200,80.5908
80.2102,0.0000,0.0000,0.0001,79.9766,0.2335,200,160.4787
79.5373,0.0000,0.0000,0.0000,79.5349,0.0024,200,240.6889
79.3642,0.0000,0.0000,0.0000,79.1665,0.1976,200,320.2262
80.5470,0.0012,0.0000,0.0002,80.3505,0.1950,200,0.0002
79.8312,0.0000,0.0000,0.0001,79.8310,0.0001,200,80.5472
79.9217,0.0000,0.0000,0.0000,79.7263,0.1954,200,160.3784
79.1122,0.0000,0.0000,0.0000,78.9117,0.2005,200,240.3002
79.0733,0.0000,0.0000,0.0000,78.8785,0.1947,200,319.4124
