response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
98.3736,0.0012,0.0000,0.0002,98.3717,0.0004,200,0.0002
97.8914,0.0000,0.0000,0.0001,97.6737,0.2176,200,98.3738
98.4114,0.0000,0.0000,0.0001,98.2130,0.1983,200,196.2652
97.8247,0.0000,0.0000,0.0000,97.8245,0.0001,200,294.6766
97.6834,0.0000,0.0000,0.0000,97.6825,0.0008,200,392.5013
100.5993,0.0010,0.0000,0.0001,100.5979,0.0001,200,0.0002
99.6270,0.0000,0.0000,0.0000,99.6267,0.0002,200,100.5995
99.8742,0.0000,0.0000,0.0001,99.8739,0.0002,200,200.2265
99.5571,0.0000,0.0000,0.0000,99.5569,0.0001,200,300.1007
100.1915,0.0000,0.0000,0.0000,99.7399,0.4516,200,399.6577
