response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
47.1036,0.0010,0.0000,0.0001,47.1020,0.0004,200,0.0002
46.6593,0.0000,0.0000,0.0001,46.6589,0.0002,200,47.1038
46.6762,0.0000,0.0000,0.0001,46.6743,0.0018,200,93.7631
46.3997,0.0000,0.0000,0.0000,46.3973,0.0023,200,140.4393
46.3350,0.0000,0.0000,0.0000,46.3348,0.0001,200,186.8390
46.8796,0.0012,0.0000,0.0001,46.8780,0.0002,200,0.0002
46.4900,0.0000,0.0000,0.0000,46.4897,0.0002,200,46.8798
46.7070,0.0000,0.0000,0.0001,46.7068,0.0001,200,93.3698
46.5809,0.0000,0.0000,0.0000,46.5808,0.0001,200,140.0769
46.5548,0.0000,0.0000,0.0000,46.5546,0.0001,200,186.6578
47.2947,0.0010,0.0000,0.0002,47.2933,0.0002,200,0.0002
46.9248,0.0000,0.0000,0.0000,46.9244,0.0003,200,47.2949
47.1945,0.0000,0.0000,0.0000,47.1943,0.0001,200,94.2197
46.8745,0.0000,0.0000,0.0000,46.6754,0.1990,200,141.4141
49.1760,0.0000,0.0000,0.0000,48.6581,0.5178,200,188.2886
