response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
67.7793,0.0008,0.0000,0.0002,67.7762,0.0019,200,0.0002
67.9415,0.0000,0.0000,0.0000,67.7482,0.1933,200,67.7794
68.3823,0.0000,0.0000,0.0000,68.3821,0.0001,200,135.7210
67.2772,0.0000,0.0000,0.0000,67.2771,0.0001,200,204.1032
67.5838,0.0000,0.0000,0.0000,67.5836,0.0001,200,271.3805
69.4414,0.0009,0.0000,0.0003,69.2230,0.2172,200,0.0002
68.2932,0.0000,0.0000,0.0001,68.0937,0.1992,200,69.4416
69.4347,0.0000,0.0000,0.0000,69.4344,0.0002,200,137.7348
68.8084,0.0000,0.0000,0.0000,68.6126,0.1957,200,207.1694
68.8200,0.0000,0.0000,0.0000,68.6193,0.2007,200,275.9778
