response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
320.4006,0.0007,0.0000,0.0001,320.2060,0.1937,200,0.0008
320.4403,0.0000,0.0000,0.0000,320.2423,0.1979,200,320.4014
317.5101,0.0000,0.0000,0.0000,317.3148,0.1953,200,640.8417
318.2129,0.0000,0.0000,0.0001,317.8223,0.3905,200,958.3518
318.0948,0.0000,0.0000,0.0000,318.0946,0.0001,200,1276.5647
326.3285,0.0007,0.0000,0.0001,326.3273,0.0003,200,0.0002
326.2447,0.0000,0.0000,0.0001,326.0468,0.1978,200,326.3287
324.7299,0.0000,0.0000,0.0001,324.7297,0.0001,200,652.5734
324.3111,0.0000,0.0000,0.0000,324.1147,0.1963,200,977.3033
323.6151,0.0000,0.0000,0.0001,323.6149,0.0001,200,1301.6144
