response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
187.4039,0.8646,0.5746,0.0003,186.3109,0.2281,200,0.0002
190.6022,0.0000,0.0000,0.0001,190.4784,0.1237,200,187.4041
192.6822,0.0000,0.0000,0.0000,192.5126,0.1696,200,378.0064
189.3453,0.0000,0.0000,0.0000,189.2851,0.0601,200,570.6886
188.1890,0.0000,0.0000,0.0001,188.0561,0.1327,200,760.0339
185.2344,0.0000,0.0000,0.0000,185.1735,0.0608,200,948.2229
187.0913,0.0000,0.0000,0.0001,187.0817,0.0089,200,1133.4573
188.0157,0.0000,0.0000,0.0001,188.0130,0.0025,200,1320.5486
187.9693,0.0000,0.0000,0.0000,187.9643,0.0050,200,1508.5643
187.5748,0.0000,0.0000,0.0000,187.5671,0.0077,200,1696.5336
187.4736,0.0000,0.0000,0.0000,187.4522,0.0213,200,1884.1085
185.5673,0.0000,0.0000,0.0000,185.5331,0.0341,200,2071.5820
186.1309,0.0000,0.0000,0.0000,186.1259,0.0050,200,2257.1494
185.7815,0.0000,0.0000,0.0000,185.7712,0.0103,200,2443.2803
185.2601,0.0000,0.0000,0.0000,185.2483,0.0118,200,2629.0618
185.6368,0.0000,0.0000,0.0000,185.6325,0.0043,200,2814.3219
185.7371,0.0000,0.0000,0.0001,185.6962,0.0407,200,2999.9588
184.9232,0.0000,0.0000,0.0000,184.9184,0.0048,200,3185.6959
185.2626,0.0000,0.0000,0.0000,185.2603,0.0023,200,3370.6192
185.2191,0.0000,0.0000,0.0000,185.2111,0.0080,200,3555.8818
