response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
113.0229,0.2845,0.0687,0.0001,112.4168,0.3214,200,0.0002
112.5947,0.0000,0.0000,0.0001,112.5639,0.0306,200,113.0232
112.3794,0.0000,0.0000,0.0000,112.3770,0.0022,200,225.6179
112.5530,0.0000,0.0000,0.0000,112.5387,0.0142,200,337.9972
112.6891,0.0000,0.0000,0.0000,112.6400,0.0490,200,450.5502
112.8583,0.0000,0.0000,0.0000,112.8506,0.0075,200,563.2393
112.8018,0.0000,0.0000,0.0000,112.7896,0.0122,200,676.0975
112.4138,0.0000,0.0000,0.0000,112.3894,0.0243,200,788.8994
112.4018,0.0000,0.0000,0.0000,112.3800,0.0218,200,901.3131
112.5888,0.0000,0.0000,0.0000,112.4939,0.0949,200,1013.7150
112.7939,0.0000,0.0000,0.0000,112.7935,0.0003,200,1126.3038
112.7272,0.0000,0.0000,0.0000,112.7025,0.0246,200,1239.0977
112.6713,0.0000,0.0000,0.0000,112.4325,0.2388,200,1351.8249
113.0423,0.0000,0.0000,0.0000,113.0388,0.0034,200,1464.4963
114.1806,0.0000,0.0000,0.0000,114.1706,0.0099,200,1577.5385
112.3749,0.0000,0.0000,0.0000,112.3721,0.0028,200,1691.7192
112.7418,0.0000,0.0000,0.0000,112.6444,0.0974,200,1804.0941
112.4420,0.0000,0.0000,0.0001,112.4142,0.0277,200,1916.8359
112.8969,0.0000,0.0000,0.0000,112.8729,0.0240,200,2029.2780
112.3372,0.0000,0.0000,0.0000,112.2913,0.0434,200,2142.1749
