response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
570.3894,0.0022,0.0000,0.0004,569.9751,0.4115,200,0.0009
569.6816,0.0000,0.0000,0.0000,569.0375,0.6440,200,570.3903
571.3886,0.0000,0.0000,0.0001,570.7721,0.6164,200,1140.0719
570.7812,0.0000,0.0000,0.0001,570.1841,0.5970,200,1711.4605
570.1200,0.0000,0.0000,0.0000,569.5276,0.5924,200,2282.2417
570.8913,0.0000,0.0000,0.0000,570.4709,0.4204,200,2852.3617
570.2796,0.0000,0.0000,0.0000,569.7685,0.5111,200,3423.2530
572.0181,0.0000,0.0000,0.0000,571.6263,0.3917,200,3993.5327
570.6393,0.0000,0.0000,0.0001,570.2432,0.3960,200,4565.5507
570.2446,0.0000,0.0000,0.0000,569.8449,0.3997,200,5136.1900
